city,state,latitude,longitude,parameter,value,unit,date,source
Delhi,Delhi,28.6248131005667,77.17611386481981,no2,26.46,µg/m³,2023-06-30,OpenAQ/CPCB
Delhi,Delhi,28.580240249376192,77.19694554417576,no2,27.87,µg/m³,2023-07-30,OpenAQ/CPCB
Delhi,Delhi,28.62789997598541,77.21469497437747,no2,32.39,µg/m³,2023-08-29,OpenAQ/CPCB
Delhi,Delhi,28.648185192018982,77.23659999115463,no2,27.1,µg/m³,2023-09-28,OpenAQ/CPCB
Delhi,Delhi,28.567110024390406,77.19054530480591,no2,34.53,µg/m³,2023-10-28,OpenAQ/CPCB
Delhi,Delhi,28.584998284358633,77.25329097143351,no2,35.74,µg/m³,2023-11-27,OpenAQ/CPCB
Mumbai,Maharashtra,19.057467788079848,72.89324386652949,pm25,34.33,µg/m³,2023-01-01,OpenAQ/CPCB
Mumbai,Maharashtra,19.117454758974056,72.87358518525875,pm25,24.91,µg/m³,2023-01-31,OpenAQ/CPCB
Mumbai,Maharashtra,19.050662750769398,72.88383681341632,pm25,12.41,µg/m³,2023-03-02,OpenAQ/CPCB
Mumbai,Maharashtra,19.084458599022355,72.91748228836025,pm25,12.39,µg/m³,2023-04-01,OpenAQ/CPCB
Mumbai,Maharashtra,19.04793207591573,72.92745376064951,pm25,13.88,µg/m³,2023-05-01,OpenAQ/CPCB
Mumbai,Maharashtra,19.03509094121738,72.83241163754248,pm25,15.08,µg/m³,2023-05-31,OpenAQ/CPCB
Mumbai,Maharashtra,19.08874460417031,72.9069079364363,pm25,10.72,µg/m³,2023-06-30,OpenAQ/CPCB
Mumbai,Maharashtra,19.032352770615198,72.86586192865066,pm25,14.13,µg/m³,2023-07-30,OpenAQ/CPCB
Mumbai,Maharashtra,19.078911434509916,72.92480783776136,pm25,20.38,µg/m³,2023-08-29,OpenAQ/CPCB
Mumbai,Maharashtra,19.027148102194282,72.89977218193603,pm25,18.9,µg/m³,2023-09-28,OpenAQ/CPCB
Mumbai,Maharashtra,19.07969703304088,72.85438251899527,pm25,30.52,µg/m³,2023-10-28,OpenAQ/CPCB
Mumbai,Maharashtra,19.037155217359587,72.87117652506691,pm25,29.72,µg/m³,2023-11-27,OpenAQ/CPCB
Mumbai,Maharashtra,19.12138159275211,72.91528529403783,no2,14.47,µg/m³,2023-01-01,OpenAQ/CPCB
Mumbai,Maharashtra,19.07605861130503,72.84556518805302,no2,12.4,µg/m³,2023-01-31,OpenAQ/CPCB
Mumbai,Maharashtra,19.113051856983677,72.85754447914486,no2,10.82,µg/m³,2023-03-02,OpenAQ/CPCB
Mumbai,Maharashtra,19.086897021143816,72.84298392685497,no2,9.16,µg/m³,2023-04-01,OpenAQ/CPCB
Mumbai,Maharashtra,19.079937903011963,72.90556264786306,no2,9.91,µg/m³,2023-05-01,OpenAQ/CPCB
Mumbai,Maharashtra,19.026057189612796,72.86011560570047,no2,8.5,µg/m³,2023-05-31,OpenAQ/CPCB
Mumbai,Maharashtra,19.118909861626463,72.91557218778232,no2,5.41,µg/m³,2023-06-30,OpenAQ/CPCB
Mumbai,Maharashtra,19.056751412540265,72.83349251664943,no2,10.33,µg/m³,2023-07-30,OpenAQ/CPCB
Mumbai,Maharashtra,19.1206949445298,72.8362653452068,no2,10.61,µg/m³,2023-08-29,OpenAQ/CPCB
Mumbai,Maharashtra,19.03292125184684,72.90376021652573,no2,8.23,µg/m³,2023-09-28,OpenAQ/CPCB
Mumbai,Maharashtra,19.038839146449977,72.87522823780988,no2,17.87,µg/m³,2023-10-28,OpenAQ/CPCB
Mumbai,Maharashtra,19.052505662894006,72.91494330410853,no2,15.52,µg/m³,2023-11-27,OpenAQ/CPCB
Bengaluru,Karnataka,12.942779820544208,77.59852960887794,pm25,8.33,µg/m³,2023-01-01,OpenAQ/CPCB
Bengaluru,Karnataka,12.94171510633897,77.57577162913009,pm25,10.3,µg/m³,2023-01-31,OpenAQ/CPCB
Bengaluru,Karnataka,12.986587805763946,77.58841000839145,pm25,6.67,µg/m³,2023-03-02,OpenAQ/CPCB
Bengaluru,Karnataka,12.933700419586827,77.56706973370315,pm25,5.0,µg/m³,2023-04-01,OpenAQ/CPCB
Bengaluru,Karnataka,12.980430871845725,77.56761147325966,pm25,5.0,µg/m³,2023-05-01,OpenAQ/CPCB
Bengaluru,Karnataka,12.928699308600903,77.607710295727,pm25,5.0,µg/m³,2023-05-31,OpenAQ/CPCB
Bengaluru,Karnataka,13.012142001300614,77.63056354002538,pm25,5.0,µg/m³,2023-06-30,OpenAQ/CPCB
Bengaluru,Karnataka,12.9454004634369,77.61149777782963,pm25,5.0,µg/m³,2023-07-30,OpenAQ/CPCB
Bengaluru,Karnataka,12.934831184872502,77.63815142405807,pm25,5.0,µg/m³,2023-08-29,OpenAQ/CPCB
Bengaluru,Karnataka,12.96886710263118,77.62306194242908,pm25,5.16,µg/m³,2023-09-28,OpenAQ/CPCB
Bengaluru,Karnataka,12.940640991436188,77.55429308142288,pm25,10.8,µg/m³,2023-10-28,OpenAQ/CPCB
Bengaluru,Karnataka,12.963957862301992,77.59130246680367,pm25,8.38,µg/m³,2023-11-27,OpenAQ/CPCB
Bengaluru,Karnataka,12.98893645472933,77.6430165211366,no2,5.72,µg/m³,2023-01-01,OpenAQ/CPCB
Bengaluru,Karnataka,12.961862128210228,77.5785302605395,no2,5.0,µg/m³,2023-01-31,OpenAQ/CPCB
Bengaluru,Karnataka,12.946465633392028,77.56362089084408,no2,5.0,µg/m³,2023-03-02,OpenAQ/CPCB
Bengaluru,Karnataka,12.963788163983441,77.5724545144667,no2,5.0,µg/m³,2023-04-01,OpenAQ/CPCB
Bengaluru,Karnataka,13.013926559927603,77.58891307450534,no2,5.0,µg/m³,2023-05-01,OpenAQ/CPCB
Bengaluru,Karnataka,12.976632531244984,77.54965883295249,no2,5.0,µg/m³,2023-05-31,OpenAQ/CPCB
Bengaluru,Karnataka,13.005202758507995,77.64149962572847,no2,5.0,µg/m³,2023-06-30,OpenAQ/CPCB
Bengaluru,Karnataka,13.00646957344143,77.5612311110604,no2,5.0,µg/m³,2023-07-30,OpenAQ/CPCB
Bengaluru,Karnataka,12.942974729919918,77.58470402925495,no2,5.0,µg/m³,2023-08-29,OpenAQ/CPCB
Bengaluru,Karnataka,12.959497311897692,77.64313088437797,no2,5.0,µg/m³,2023-09-28,OpenAQ/CPCB
Bengaluru,Karnataka,13.000007060194857,77.59010083673391,no2,5.0,µg/m³,2023-10-28,OpenAQ/CPCB
Bengaluru,Karnataka,13.017331764085968,77.64414226894927,no2,5.0,µg/m³,2023-11-27,OpenAQ/CPCB
Chennai,Tamil Nadu,13.104540827529634,80.2361796825274,pm25,9.53,µg/m³,2023-01-01,OpenAQ/CPCB
Chennai,Tamil Nadu,13.129570936496917,80.27861802908163,pm25,7.8,µg/m³,2023-01-31,OpenAQ/CPCB
Chennai,Tamil Nadu,13.107497556037908,80.22641652729075,pm25,5.24,µg/m³,2023-03-02,OpenAQ/CPCB
Chennai,Tamil Nadu,13.082985038291952,80.30597198920483,pm25,5.4,µg/m³,2023-04-01,OpenAQ/CPCB
Chennai,Tamil Nadu,13.128777890327447,80.22871114652406,pm25,5.0,µg/m³,2023-05-01,OpenAQ/CPCB
Chennai,Tamil Nadu,13.092203510645003,80.28822125536041,pm25,5.0,µg/m³,2023-05-31,OpenAQ/CPCB
Chennai,Tamil Nadu,13.044688661394714,80.30972873141295,pm25,5.0,µg/m³,2023-06-30,OpenAQ/CPCB
Chennai,Tamil Nadu,13.092151915353345,80.28263815103321,pm25,5.0,µg/m³,2023-07-30,OpenAQ/CPCB
Chennai,Tamil Nadu,13.091067228929123,80.2729782715532,pm25,5.0,µg/m³,2023-08-29,OpenAQ/CPCB
Chennai,Tamil Nadu,13.053125919942355,80.29231918007895,pm25,6.69,µg/m³,2023-09-28,OpenAQ/CPCB
Chennai,Tamil Nadu,13.072278584679127,80.28786902229601,pm25,7.42,µg/m³,2023-10-28,OpenAQ/CPCB
Chennai,Tamil Nadu,13.064317719627187,80.29588644924145,pm25,7.82,µg/m³,2023-11-27,OpenAQ/CPCB
Chennai,Tamil Nadu,13.07852855226186,80.32054544408545,no2,5.0,µg/m³,2023-01-01,OpenAQ/CPCB
Chennai,Tamil Nadu,13.040026072109963,80.2420154312267,no2,6.92,µg/m³,2023-01-31,OpenAQ/CPCB
Chennai,Tamil Nadu,13.126025937799373,80.30878641736865,no2,5.0,µg/m³,2023-03-02,OpenAQ/CPCB
Chennai,Tamil Nadu,13.069652708873889,80.23647468323573,no2,5.0,µg/m³,2023-04-01,OpenAQ/CPCB
Chennai,Tamil Nadu,13.103053992508737,80.2818677765726,no2,5.0,µg/m³,2023-05-01,OpenAQ/CPCB
Chennai,Tamil Nadu,13.098097631771074,80.22148231071522,no2,5.0,µg/m³,2023-05-31,OpenAQ/CPCB
Chennai,Tamil Nadu,13.062637875219998,80.28703887149662,no2,5.0,µg/m³,2023-06-30,OpenAQ/CPCB
Chennai,Tamil Nadu,13.046129111439338,80.23224286704192,no2,5.0,µg/m³,2023-07-30,OpenAQ/CPCB
Chennai,Tamil Nadu,13.088022364088483,80.24793482123148,no2,5.0,µg/m³,2023-08-29,OpenAQ/CPCB
Chennai,Tamil Nadu,13.104461218713881,80.24105973123275,no2,5.0,µg/m³,2023-09-28,OpenAQ/CPCB
Chennai,Tamil Nadu,13.059098390163042,80.26955318521495,no2,5.58,µg/m³,2023-10-28,OpenAQ/CPCB
Chennai,Tamil Nadu,13.117310371329486,80.22992984677128,no2,6.59,µg/m³,2023-11-27,OpenAQ/CPCB
Kolkata,West Bengal,22.550268022397226,88.31425456890878,pm25,35.27,µg/m³,2023-01-01,OpenAQ/CPCB
Kolkata,West Bengal,22.58631133773014,88.34009552624343,pm25,44.7,µg/m³,2023-01-31,OpenAQ/CPCB
Kolkata,West Bengal,22.57776804211264,88.35666869189807,pm25,24.38,µg/m³,2023-03-02,OpenAQ/CPCB
Kolkata,West Bengal,22.53012438600738,88.40221063933002,pm25,13.35,µg/m³,2023-04-01,OpenAQ/CPCB
Kolkata,West Bengal,22.577159028920555,88.3973595019886,pm25,26.84,µg/m³,2023-05-01,OpenAQ/CPCB
Kolkata,West Bengal,22.53740937855675,88.32664455192821,pm25,21.99,µg/m³,2023-05-31,OpenAQ/CPCB
Kolkata,West Bengal,22.61249814887426,88.39351223048881,pm25,17.85,µg/m³,2023-06-30,OpenAQ/CPCB
Kolkata,West Bengal,22.61249246365265,88.33490765383398,pm25,26.19,µg/m³,2023-07-30,OpenAQ/CPCB
Kolkata,West Bengal,22.53287936216718,88.39191162418714,pm25,16.97,µg/m³,2023-08-29,OpenAQ/CPCB
Kolkata,West Bengal,22.56323773898321,88.37596615101508,pm25,26.54,µg/m³,2023-09-28,OpenAQ/CPCB
Kolkata,West Bengal,22.61558810156937,88.400360569622,pm25,27.96,µg/m³,2023-10-28,OpenAQ/CPCB
Kolkata,West Bengal,22.60367717199404,88.40204162046633,pm25,50.27,µg/m³,2023-11-27,OpenAQ/CPCB
Kolkata,West Bengal,22.59625644717551,88.34711854679465,no2,13.58,µg/m³,2023-01-01,OpenAQ/CPCB
Kolkata,West Bengal,22.602823513893714,88.40030640283753,no2,27.24,µg/m³,2023-01-31,OpenAQ/CPCB
Kolkata,West Bengal,22.54928057095945,88.39263745091355,no2,14.13,µg/m³,2023-03-02,OpenAQ/CPCB
Kolkata,West Bengal,22.60981667829061,88.39975932513379,no2,8.24,µg/m³,2023-04-01,OpenAQ/CPCB
Kolkata,West Bengal,22.604258660559694,88.35993032346789,no2,9.2,µg/m³,2023-05-01,OpenAQ/CPCB
Kolkata,West Bengal,22.602134549915288,88.33665954874078,no2,9.89,µg/m³,2023-05-31,OpenAQ/CPCB
Kolkata,West Bengal,22.541912978832773,88.34672619511977,no2,7.53,µg/m³,2023-06-30,OpenAQ/CPCB
Kolkata,West Bengal,22.619288910404837,88.3418124992722,no2,14.58,µg/m³,2023-07-30,OpenAQ/CPCB
Kolkata,West Bengal,22.562567838436006,88.41201496871983,no2,12.71,µg/m³,2023-08-29,OpenAQ/CPCB
Kolkata,West Bengal,22.61652371403247,88.32543417518514,no2,11.83,µg/m³,2023-09-28,OpenAQ/CPCB
Kolkata,West Bengal,22.540456781617248,88.41015343157616,no2,27.84,µg/m³,2023-10-28,OpenAQ/CPCB
Kolkata,West Bengal,22.533440254721473,88.35735637585647,no2,17.21,µg/m³,2023-11-27,OpenAQ/CPCB
Hyderabad,Telangana,17.3663677314195,78.49732088533061,pm25,25.58,µg/m³,2023-01-01,OpenAQ/CPCB
Hyderabad,Telangana,17.373519543334474,78.49435880434966,pm25,22.12,µg/m³,2023-01-31,OpenAQ/CPCB
Hyderabad,Telangana,17.40587852838342,78.43686912782186,pm25,10.01,µg/m³,2023-03-02,OpenAQ/CPCB
Hyderabad,Telangana,17.38884519970928,78.50864299991449,pm25,15.96,µg/m³,2023-04-01,OpenAQ/CPCB
Hyderabad,Telangana,17.4020628504433,78.47312214717813,pm25,14.33,µg/m³,2023-05-01,OpenAQ/CPCB
Hyderabad,Telangana,17.401423768491128,78.46972000360425,pm25,8.37,µg/m³,2023-05-31,OpenAQ/CPCB
Hyderabad,Telangana,17.419801527950636,78.5086754263014,pm25,10.54,µg/m³,2023-06-30,OpenAQ/CPCB
Hyderabad,Telangana,17.36592846622087,78.47753929086193,pm25,10.42,µg/m³,2023-07-30,OpenAQ/CPCB
Hyderabad,Telangana,17.364565520252597,78.44942877990592,pm25,11.32,µg/m³,2023-08-29,OpenAQ/CPCB
Hyderabad,Telangana,17.42903636707302,78.50443179452728,pm25,11.48,µg/m³,2023-09-28,OpenAQ/CPCB
Hyderabad,Telangana,17.39655149159514,78.46679498745655,pm25,28.36,µg/m³,2023-10-28,OpenAQ/CPCB
Hyderabad,Telangana,17.33504059396973,78.46539137168689,pm25,22.7,µg/m³,2023-11-27,OpenAQ/CPCB
Hyderabad,Telangana,17.39299847811957,78.50217056237031,no2,11.56,µg/m³,2023-01-01,OpenAQ/CPCB
Hyderabad,Telangana,17.379215979930482,78.45807014009891,no2,11.87,µg/m³,2023-01-31,OpenAQ/CPCB
Hyderabad,Telangana,17.425118082582827,78.51630247601268,no2,6.64,µg/m³,2023-03-02,OpenAQ/CPCB
Hyderabad,Telangana,17.343479553672513,78.48824520099151,no2,5.14,µg/m³,2023-04-01,OpenAQ/CPCB
Hyderabad,Telangana,17.36851882554098,78.51854234645367,no2,7.42,µg/m³,2023-05-01,OpenAQ/CPCB
Hyderabad,Telangana,17.402279567055718,78.45916406659973,no2,8.01,µg/m³,2023-05-31,OpenAQ/CPCB
Hyderabad,Telangana,17.337442538772684,78.46118425440784,no2,5.29,µg/m³,2023-06-30,OpenAQ/CPCB
Hyderabad,Telangana,17.419973769462473,78.44398282291846,no2,6.65,µg/m³,2023-07-30,OpenAQ/CPCB
Hyderabad,Telangana,17.397976538073774,78.45614352367397,no2,6.35,µg/m³,2023-08-29,OpenAQ/CPCB
Hyderabad,Telangana,17.384437716901044,78.46109844395784,no2,7.74,µg/m³,2023-09-28,OpenAQ/CPCB
Hyderabad,Telangana,17.335554481813805,78.51179644766185,no2,13.57,µg/m³,2023-10-28,OpenAQ/CPCB
Hyderabad,Telangana,17.345658729656357,78.47921461939427,no2,14.58,µg/m³,2023-11-27,OpenAQ/CPCB
Ahmedabad,Gujarat,23.068296604227953,72.57319577504437,pm25,29.56,µg/m³,2023-01-01,OpenAQ/CPCB
Ahmedabad,Gujarat,22.997419827966,72.60623363473516,pm25,26.03,µg/m³,2023-01-31,OpenAQ/CPCB
Ahmedabad,Gujarat,23.052641660172227,72.58815777325863,pm25,20.81,µg/m³,2023-03-02,OpenAQ/CPCB
Ahmedabad,Gujarat,23.032045231846944,72.61640396084431,pm25,29.11,µg/m³,2023-04-01,OpenAQ/CPCB
Ahmedabad,Gujarat,23.033765232276178,72.59332739612759,pm25,27.6,µg/m³,2023-05-01,OpenAQ/CPCB
Ahmedabad,Gujarat,23.055556916972144,72.57618719506108,pm25,21.56,µg/m³,2023-05-31,OpenAQ/CPCB
Ahmedabad,Gujarat,23.046865544215958,72.56886744368231,pm25,27.69,µg/m³,2023-06-30,OpenAQ/CPCB
Ahmedabad,Gujarat,22.997223973750966,72.58516614367761,pm25,17.72,µg/m³,2023-07-30,OpenAQ/CPCB
Ahmedabad,Gujarat,23.0246299812828,72.58407484369818,pm25,25.64,µg/m³,2023-08-29,OpenAQ/CPCB
Ahmedabad,Gujarat,22.980248335386474,72.5499728150863,pm25,17.96,µg/m³,2023-09-28,OpenAQ/CPCB
Ahmedabad,Gujarat,23.004470956841878,72.57541522225185,pm25,32.26,µg/m³,2023-10-28,OpenAQ/CPCB
Ahmedabad,Gujarat,22.99562614797282,72.5907949812299,pm25,28.5,µg/m³,2023-11-27,OpenAQ/CPCB
Ahmedabad,Gujarat,22.978922885071388,72.56215993696665,no2,24.71,µg/m³,2023-01-01,OpenAQ/CPCB
Ahmedabad,Gujarat,23.014077423410317,72.54208343895144,no2,22.15,µg/m³,2023-01-31,OpenAQ/CPCB
Ahmedabad,Gujarat,23.06298384783402,72.57980794142041,no2,11.24,µg/m³,2023-03-02,OpenAQ/CPCB
Ahmedabad,Gujarat,23.058173203230393,72.59795945761181,no2,13.63,µg/m³,2023-04-01,OpenAQ/CPCB
Ahmedabad,Gujarat,22.9730896083584,72.55657588026718,no2,10.9,µg/m³,2023-05-01,OpenAQ/CPCB
Ahmedabad,Gujarat,23.057844795056912,72.616743033847,no2,14.14,µg/m³,2023-05-31,OpenAQ/CPCB
Ahmedabad,Gujarat,23.047251566897806,72.57601323097339,no2,11.23,µg/m³,2023-06-30,OpenAQ/CPCB
Ahmedabad,Gujarat,22.994553869432384,72.54334216346214,no2,12.83,µg/m³,2023-07-30,OpenAQ/CPCB
Ahmedabad,Gujarat,22.97540248199467,72.55501295436983,no2,11.38,µg/m³,2023-08-29,OpenAQ/CPCB
Ahmedabad,Gujarat,23.012931666913765,72.53790447312035,no2,13.49,µg/m³,2023-09-28,OpenAQ/CPCB
Ahmedabad,Gujarat,22.985262779728117,72.5836256960974,no2,20.98,µg/m³,2023-10-28,OpenAQ/CPCB
Ahmedabad,Gujarat,23.011902025633972,72.57783919830247,no2,14.1,µg/m³,2023-11-27,OpenAQ/CPCB
Pune,Maharashtra,18.53467496480093,73.82026994872307,pm25,16.6,µg/m³,2023-01-01,OpenAQ/CPCB
Pune,Maharashtra,18.475428463348862,73.84461038641882,pm25,24.6,µg/m³,2023-01-31,OpenAQ/CPCB
Pune,Maharashtra,18.503084580488128,73.8828229707894,pm25,11.11,µg/m³,2023-03-02,OpenAQ/CPCB
Pune,Maharashtra,18.545600982355477,73.88989242851554,pm25,12.82,µg/m³,2023-04-01,OpenAQ/CPCB
Pune,Maharashtra,18.478590623276162,73.808638328705,pm25,11.53,µg/m³,2023-05-01,OpenAQ/CPCB
Pune,Maharashtra,18.570390782850918,73.84169603437202,pm25,14.46,µg/m³,2023-05-31,OpenAQ/CPCB
Pune,Maharashtra,18.548523304961087,73.8718754655244,pm25,15.59,µg/m³,2023-06-30,OpenAQ/CPCB
Pune,Maharashtra,18.565361173271597,73.82663606823625,pm25,16.66,µg/m³,2023-07-30,OpenAQ/CPCB
Pune,Maharashtra,18.485638234578477,73.81932209748743,pm25,9.15,µg/m³,2023-08-29,OpenAQ/CPCB
Pune,Maharashtra,18.526796958193,73.82849645409065,pm25,15.79,µg/m³,2023-09-28,OpenAQ/CPCB
Pune,Maharashtra,18.547089809835622,73.82347891433679,pm25,28.98,µg/m³,2023-10-28,OpenAQ/CPCB
Pune,Maharashtra,18.545192565195528,73.81815328713789,pm25,27.28,µg/m³,2023-11-27,OpenAQ/CPCB
Pune,Maharashtra,18.566872077303408,73.81750987496576,no2,17.32,µg/m³,2023-01-01,OpenAQ/CPCB
Pune,Maharashtra,18.50159572443947,73.87443472868505,no2,9.21,µg/m³,2023-01-31,OpenAQ/CPCB
Pune,Maharashtra,18.51006544415166,73.87820147050495,no2,10.41,µg/m³,2023-03-02,OpenAQ/CPCB
Pune,Maharashtra,18.539461441593296,73.8694242395601,no2,5.4,µg/m³,2023-04-01,OpenAQ/CPCB
Pune,Maharashtra,18.54764808849512,73.89172932390888,no2,5.55,µg/m³,2023-05-01,OpenAQ/CPCB
Pune,Maharashtra,18.48250550650673,73.90508443515147,no2,8.38,µg/m³,2023-05-31,OpenAQ/CPCB
Pune,Maharashtra,18.505120376530844,73.84953780132348,no2,9.42,µg/m³,2023-06-30,OpenAQ/CPCB
Pune,Maharashtra,18.520996078967706,73.84082311748614,no2,7.08,µg/m³,2023-07-30,OpenAQ/CPCB
Pune,Maharashtra,18.552633091809003,73.81725388706441,no2,9.8,µg/m³,2023-08-29,OpenAQ/CPCB
Pune,Maharashtra,18.533958510610145,73.88957073110025,no2,10.43,µg/m³,2023-09-28,OpenAQ/CPCB
Pune,Maharashtra,18.513948714500767,73.88007953040135,no2,16.18,µg/m³,2023-10-28,OpenAQ/CPCB
Pune,Maharashtra,18.497408239638737,73.88751992188068,no2,18.82,µg/m³,2023-11-27,OpenAQ/CPCB
Jaipur,Rajasthan,26.91074975038832,75.78085744930038,pm25,51.62,µg/m³,2023-01-01,OpenAQ/CPCB
Jaipur,Rajasthan,26.889239553804924,75.82247131600194,pm25,58.67,µg/m³,2023-01-31,OpenAQ/CPCB
Jaipur,Rajasthan,26.87106628980557,75.82546311840028,pm25,34.62,µg/m³,2023-03-02,OpenAQ/CPCB
Jaipur,Rajasthan,26.908870846660324,75.79833317042305,pm25,22.71,µg/m³,2023-04-01,OpenAQ/CPCB
Jaipur,Rajasthan,26.86526999977701,75.82239528363125,pm25,25.45,µg/m³,2023-05-01,OpenAQ/CPCB
Jaipur,Rajasthan,26.883611985017975,75.81708323568282,pm25,21.45,µg/m³,2023-05-31,OpenAQ/CPCB
Jaipur,Rajasthan,26.950431997975823,75.80741837503322,pm25,24.67,µg/m³,2023-06-30,OpenAQ/CPCB
Jaipur,Rajasthan,26.86341511144387,75.83210625777771,pm25,23.36,µg/m³,2023-07-30,OpenAQ/CPCB
Jaipur,Rajasthan,26.93440746641042,75.78615778468487,pm25,19.5,µg/m³,2023-08-29,OpenAQ/CPCB
Jaipur,Rajasthan,26.931460933944653,75.8018902899741,pm25,33.14,µg/m³,2023-09-28,OpenAQ/CPCB
Jaipur,Rajasthan,26.941693286813233,75.74660533505546,pm25,49.89,µg/m³,2023-10-28,OpenAQ/CPCB
Jaipur,Rajasthan,26.931578715529522,75.76792060301301,pm25,40.06,µg/m³,2023-11-27,OpenAQ/CPCB
Jaipur,Rajasthan,26.909726048875953,75.79039219311458,no2,29.56,µg/m³,2023-01-01,OpenAQ/CPCB
Jaipur,Rajasthan,26.936993543671363,75.7703791297196,no2,26.39,µg/m³,2023-01-31,OpenAQ/CPCB
Jaipur,Rajasthan,26.88949164269762,75.7624403676201,no2,17.79,µg/m³,2023-03-02,OpenAQ/CPCB
Jaipur,Rajasthan,26.881658429345155,75.7492554741255,no2,11.23,µg/m³,2023-04-01,OpenAQ/CPCB
Jaipur,Rajasthan,26.93861896094841,75.75581498424377,no2,15.91,µg/m³,2023-05-01,OpenAQ/CPCB
Jaipur,Rajasthan,26.910819858721272,75.80975850010931,no2,12.31,µg/m³,2023-05-31,OpenAQ/CPCB
Jaipur,Rajasthan,26.914863686910863,75.76559987032749,no2,20.88,µg/m³,2023-06-30,OpenAQ/CPCB
Jaipur,Rajasthan,26.88181175780911,75.76004831634826,no2,11.0,µg/m³,2023-07-30,OpenAQ/CPCB
Jaipur,Rajasthan,26.86381483672561,75.79071350892677,no2,11.89,µg/m³,2023-08-29,OpenAQ/CPCB
Jaipur,Rajasthan,26.959829493110277,75.79263589667987,no2,12.96,µg/m³,2023-09-28,OpenAQ/CPCB
Jaipur,Rajasthan,26.87502794929584,75.8241461197263,no2,31.91,µg/m³,2023-10-28,OpenAQ/CPCB
Jaipur,Rajasthan,26.949671973499854,75.79470642196263,no2,27.72,µg/m³,2023-11-27,OpenAQ/CPCB
Lucknow,Uttar Pradesh,26.8407468798136,80.91463636703901,pm25,68.49,µg/m³,2023-01-01,OpenAQ/CPCB
Lucknow,Uttar Pradesh,26.89080635967681,80.94397291872657,pm25,47.19,µg/m³,2023-01-31,OpenAQ/CPCB
Lucknow,Uttar Pradesh,26.83677074422519,80.90360821702556,pm25,48.03,µg/m³,2023-03-02,OpenAQ/CPCB
Lucknow,Uttar Pradesh,26.80206090742925,80.91111975844737,pm25,42.58,µg/m³,2023-04-01,OpenAQ/CPCB
Lucknow,Uttar Pradesh,26.82708355118422,80.99559181227103,pm25,40.69,µg/m³,2023-05-01,OpenAQ/CPCB
Lucknow,Uttar Pradesh,26.87314434453262,80.9568317651243,pm25,28.12,µg/m³,2023-05-31,OpenAQ/CPCB
Lucknow,Uttar Pradesh,26.819268713706503,80.94845725351303,pm25,47.14,µg/m³,2023-06-30,OpenAQ/CPCB
Lucknow,Uttar Pradesh,26.84097210040193,80.98221666658262,pm25,37.52,µg/m³,2023-07-30,OpenAQ/CPCB
Lucknow,Uttar Pradesh,26.827238024431935,80.95830273210721,pm25,52.78,µg/m³,2023-08-29,OpenAQ/CPCB
Lucknow,Uttar Pradesh,26.870708930548453,80.99095902003255,pm25,42.02,µg/m³,2023-09-28,OpenAQ/CPCB
Lucknow,Uttar Pradesh,26.817802519530538,80.96224281371921,pm25,55.16,µg/m³,2023-10-28,OpenAQ/CPCB
Lucknow,Uttar Pradesh,26.81408135483264,80.90370648689012,pm25,52.58,µg/m³,2023-11-27,OpenAQ/CPCB
